Change Component Footprint: Designator=D1 Old Footprint=DO-214AC New Footprint=SOD-123
Change Component Footprint: Designator=D2 Old Footprint=DO-214AC New Footprint=SOD-123
Change Component Description : Designator=B1 Old Description=3V蜂鸣 New Description=3V蜂鸣器
Change Component Description : Designator=Q2 Old Description=Discrete NPN Bipolar Tran New Description=Discrete NPN Bipolar Transistor
Change Component Description : Designator=P1 Old Description=Header, 2- New Description=Header, 2-Pin
Change Component Description : Designator=L1 Old Description=Power Inductor, Ferrite-C New Description=Power Inductor, Ferrite-Core
Change Component Description : Designator=LED1 Old Description=Red, Typical INFRARED GaAs LE New Description=Red, Typical INFRARED GaAs LED
Change Component Description : Designator=LED2 Old Description=Red, Typical INFRARED GaAs LE New Description=Red, Typical INFRARED GaAs LED
Change Component Description : Designator=LED3 Old Description=Red, Typical INFRARED GaAs LE New Description=Red, Typical INFRARED GaAs LED
Change Component Description : Designator=LED4 Old Description=Red, Typical INFRARED GaAs LE New Description=Red, Typical INFRARED GaAs LED
Change Component Description : Designator=S1 Old Description=SPDT Subminiature Toggle Switch, Right Angle Mounting, Vertical Act New Description=SPDT Subminiature Toggle Switch, Right Angle Mounting, Vertical Actuation
Change Component Description : Designator=D1 Old Description=TVS二极管 Dio New Description=TVS二极管 Diode
Change Component Description : Designator=D2 Old Description=TVS二极管 Dio New Description=TVS二极管 Diode
Change Component Description : Designator=C1 Old Description=电? New Description=电容
Change Component Description : Designator=C2 Old Description=电? New Description=电容
Change Component Description : Designator=C5 Old Description=电? New Description=电容
Change Component Description : Designator=C6 Old Description=电? New Description=电容
Change Component Description : Designator=C9 Old Description=电? New Description=电容
Change Component Description : Designator=C10 Old Description=电? New Description=电容
Change Component Description : Designator=C13 Old Description=电? New Description=电容
Change Component Description : Designator=C15 Old Description=电? New Description=电容
Change Component Description : Designator=C16 Old Description=电? New Description=电容
Change Component Description : Designator=C17 Old Description=电? New Description=电容
Change Component Description : Designator=C20 Old Description=电? New Description=电容
Change Component Description : Designator=C21 Old Description=电? New Description=电容
Change Component Description : Designator=L2 Old Description=电? New Description=电感
Change Component Description : Designator=L3 Old Description=电? New Description=电感
Change Component Description : Designator=R1 Old Description=电? New Description=电阻
Change Component Description : Designator=R2 Old Description=电? New Description=电阻
Change Component Description : Designator=R3 Old Description=电? New Description=电阻
Change Component Description : Designator=R4 Old Description=电? New Description=电阻
Change Component Description : Designator=R6 Old Description=电? New Description=电阻
Change Component Description : Designator=R7 Old Description=电? New Description=电阻
Change Component Description : Designator=R8 Old Description=电? New Description=电阻
Change Component Description : Designator=R9 Old Description=电? New Description=电阻
Change Component Description : Designator=R10 Old Description=电? New Description=电阻
Change Component Description : Designator=R11 Old Description=电? New Description=电阻
Change Component Description : Designator=R12 Old Description=电? New Description=电阻
Change Component Description : Designator=R13 Old Description=电? New Description=电阻
Change Component Description : Designator=R14 Old Description=电? New Description=电阻
Change Component Description : Designator=R15 Old Description=电? New Description=电阻
Change Component Description : Designator=R16 Old Description=电? New Description=电阻
Change Component Description : Designator=R17 Old Description=电? New Description=电阻
Change Component Description : Designator=R18 Old Description=电? New Description=电阻
Change Component Description : Designator=R19 Old Description=电? New Description=电阻
Change Component Description : Designator=R20 Old Description=电? New Description=电阻
Change Component Description : Designator=R21 Old Description=电? New Description=电阻
Change Component Description : Designator=R22 Old Description=电? New Description=电阻
Change Component Description : Designator=R23 Old Description=电? New Description=电阻
Change Component Description : Designator=R24 Old Description=电? New Description=电阻
Change Component Description : Designator=R25 Old Description=电? New Description=电阻
Change Component Description : Designator=R26 Old Description=电? New Description=电阻
Change Component Description : Designator=R27 Old Description=电? New Description=电阻
Change Component Description : Designator=R28 Old Description=电? New Description=电阻
Change Component Description : Designator=R29 Old Description=电? New Description=电阻
Change Component Description : Designator=R30 Old Description=电? New Description=电阻
Change Component Description : Designator=R31 Old Description=电? New Description=电阻
Change Component Description : Designator=R32 Old Description=电? New Description=电阻
Change Component Description : Designator=R33 Old Description=电? New Description=电阻
Change Component Description : Designator=R34 Old Description=电? New Description=电阻
Change Component Description : Designator=R35 Old Description=电? New Description=电阻
Change Component Description : Designator=R36 Old Description=电? New Description=电阻
Change Component Description : Designator=R37 Old Description=电? New Description=电阻
Change Component Description : Designator=R38 Old Description=电? New Description=电阻
Change Component Description : Designator=R5 Old Description=精密电 New Description=精密电位器
Change Component Description : Designator=C3 Old Description=钽电解电容/16V/ New Description=钽电解电容/16V/A型封装
Change Component Description : Designator=C4 Old Description=钽电解电容/16V/ New Description=钽电解电容/16V/A型封装
Change Component Description : Designator=C7 Old Description=钽电解电容/16V/ New Description=钽电解电容/16V/A型封装
Change Component Description : Designator=C8 Old Description=钽电解电容/16V/ New Description=钽电解电容/16V/A型封装
Change Component Description : Designator=C11 Old Description=钽电解电容/16V/ New Description=钽电解电容/16V/A型封装
Change Component Description : Designator=C12 Old Description=钽电解电容/16V/ New Description=钽电解电容/16V/A型封装
Change Component Description : Designator=C14 Old Description=钽电解电容/16V/ New Description=钽电解电容/16V/A型封装
Change Component Description : Designator=C18 Old Description=钽电解电容/16V/ New Description=钽电解电容/16V/A型封装
Change Component Description : Designator=C19 Old Description=钽电解电容/16V/ New Description=钽电解电容/16V/A型封装
Change component parameters: Designator = "P1" ("P1"); Footprint = "PCBComponent_1"; UniqueID = "\IQWCIPJY" ("\IQWCIPJY")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P4" ("P4"); Footprint = "HDR1X3"; UniqueID = "\DFBJNOEB" ("\DFBJNOEB")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P5" ("P5"); Footprint = "HDR1X4"; UniqueID = "\EAADTLGU" ("\EAADTLGU")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P6" ("P6"); Footprint = "HDR2X8"; UniqueID = "\LTNWCEOT" ("\LTNWCEOT")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P7" ("P7"); Footprint = "HDR2X8"; UniqueID = "\VRHMEJHR" ("\VRHMEJHR")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P8" ("P8"); Footprint = "HDR1X8"; UniqueID = "\KFEGUSQG" ("\KFEGUSQG")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P9" ("P9"); Footprint = "HDR2X3"; UniqueID = "\MEPHVABF" ("\MEPHVABF")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P10" ("P10"); Footprint = "HDR2X3"; UniqueID = "\YUNPKWTT" ("\YUNPKWTT")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P11" ("P11"); Footprint = "HDR2X3"; UniqueID = "\OVCHUJQA" ("\OVCHUJQA")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P12" ("P12"); Footprint = "HDR2X3"; UniqueID = "\JHJFYJRU" ("\JHJFYJRU")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P13" ("P13"); Footprint = "HDR2X4"; UniqueID = "\WPGGKQHY" ("\WPGGKQHY")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P14" ("P14"); Footprint = "HDR2X3"; UniqueID = "\IQMKJJCL" ("\IQMKJJCL")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
